alpha,feasible,Q,budget_used,opened,opened_indices
0.4,True,0.4690368867876914,1386000.0,34,"[21, 23, 74, 75, 81, 107, 120, 143, 150, 207, 209, 229, 262, 309, 313, 320, 322, 324, 325, 332, 333, 334, 337, 339, 343, 346, 347, 354, 356, 362, 364, 369, 375, 382]"
0.4666666666666667,True,0.4862635530206865,1394000.0,31,"[21, 23, 39, 75, 81, 120, 143, 150, 209, 303, 309, 320, 324, 325, 327, 328, 332, 333, 334, 337, 339, 343, 346, 347, 349, 356, 362, 364, 368, 375, 380]"
0.5333333333333333,True,0.5041801507034701,1392000.0,28,"[21, 23, 39, 62, 74, 94, 143, 150, 218, 260, 307, 309, 318, 320, 322, 324, 325, 332, 333, 334, 336, 339, 340, 346, 348, 361, 362, 380]"
0.6000000000000001,True,0.5626096728537061,1392000.0,27,"[21, 74, 75, 120, 143, 150, 207, 218, 237, 260, 309, 320, 322, 324, 325, 332, 333, 334, 336, 339, 346, 348, 361, 362, 374, 375, 380]"
0.6666666666666667,True,0.5869897916495997,1390000.0,26,"[9, 75, 218, 298, 303, 309, 312, 320, 322, 324, 325, 331, 332, 333, 334, 336, 339, 343, 355, 361, 362, 363, 364, 368, 372, 375]"
0.7333333333333334,True,0.5959561611386711,1392000.0,25,"[9, 254, 303, 309, 312, 320, 322, 325, 331, 332, 333, 334, 336, 337, 339, 347, 348, 354, 359, 362, 364, 371, 374, 375, 378]"
0.8,True,0.6017669838032391,1392000.0,23,"[9, 44, 254, 304, 309, 312, 313, 320, 322, 325, 330, 331, 332, 333, 336, 337, 339, 348, 355, 362, 371, 375, 378]"
0.8666666666666667,True,0.6018526629998794,1394000.0,23,"[9, 106, 254, 304, 309, 312, 320, 322, 325, 331, 332, 333, 334, 336, 337, 339, 347, 348, 362, 371, 374, 375, 378]"
0.9333333333333333,True,0.6219934608423289,1382000.0,22,"[106, 143, 218, 304, 308, 312, 313, 320, 325, 327, 331, 332, 333, 336, 339, 340, 342, 353, 356, 372, 374, 375]"
1.0,True,0.628431956414411,1380000.0,22,"[143, 218, 304, 307, 309, 312, 313, 320, 322, 325, 330, 331, 332, 336, 339, 340, 348, 362, 364, 372, 375, 381]"
