Tau,feasible,Q,budget_used,opened
0.5,True,0.628431956414411,1380000.0,22
0.7777777777777778,True,0.628431956414411,1380000.0,22
1.0555555555555556,True,0.628431956414411,1380000.0,22
1.3333333333333335,True,0.628431956414411,1380000.0,22
1.6111111111111112,True,0.628431956414411,1391000.0,22
1.8888888888888888,True,0.628431956414411,1380000.0,22
2.166666666666667,True,0.628431956414411,1380000.0,22
2.4444444444444446,True,0.6284319564144121,1380000.0,22
2.7222222222222223,True,0.628431956414411,1380000.0,22
3.0,True,0.628431956414411,1380000.0,22
